class,protein_g,fat_g,carb_g,serving_size_g,source_url
apple_pie,1.9,11.0,34.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175229/nutrients
baby_back_ribs,27.3,31.6,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175236/nutrients
baklava,5.3,20.3,39.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175241/nutrients
beef_carpaccio,24.2,15.3,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175245/nutrients
beef_tartare,26.0,19.0,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175247/nutrients
beet_salad,1.8,8.4,6.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175252/nutrients
beignets,4.5,2.3,35.8,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175254/nutrients
bibimbap,7.8,7.5,23.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175259/nutrients
bread_pudding,6.5,8.1,32.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175262/nutrients
breakfast_burrito,12.8,14.2,20.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175265/nutrients
bruschetta,3.2,7.8,5.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175268/nutrients
caesar_salad,14.0,15.0,4.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175271/nutrients
cannoli,8.3,13.4,47.2,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175274/nutrients
caprese_salad,6.7,14.2,4.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175277/nutrients
carrot_cake,3.8,15.2,36.5,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175280/nutrients
ceviche,16.7,2.3,4.8,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175283/nutrients
cheese_plate,25.0,33.0,1.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175286/nutrients
cheesecake,6.4,22.5,25.5,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175289/nutrients
chicken_curry,14.8,10.8,6.4,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175292/nutrients
chicken_quesadilla,14.0,11.5,18.3,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175295/nutrients
chicken_wings,20.3,13.5,0.0,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175298/nutrients
chocolate_cake,5.3,15.2,47.1,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175301/nutrients
chocolate_mousse,4.8,14.2,16.7,100.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175304/nutrients
